﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7DSpAfNNKLyxwloqTlZ5PV","Open Car","Porcupine Tree","Deadwing (Intl Download)","1","7","226760","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:54IL47Tmp2MAVABIdf6eMF","Hang On Me","St. Vincent","MASSEDUCTION","1","1","168786","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:5qeE7NpODkHgivRDO5Y8fv","Deadwing","Porcupine Tree","Deadwing (Intl Download)","1","1","586573","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:6jcKQzA6fxIrof4AlrojG1","Pills","St. Vincent","MASSEDUCTION","1","2","280680","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:1prHuUgQynD2lKYX04o6MY","The Start of Something Beautiful","Porcupine Tree","Deadwing (Intl Download)","1","8","459946","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:6MtxvXBmehAduCogPWAHpc","Going To Town - Remastered","The Afghan Whigs","Black Love (20th Anniversary Edition)","1","6","197120","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:2VwvAs8Y0ycgiLxMv2f7Va","Nomad","Death From Above 1979","Outrage! Is Now","1","1","250533","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:2wIO5mxIfQS2flbGXAs94m","Five Seconds (feat. Odd Nosdam)","Peeping Tom, Odd Nosdam","Peeping Tom","1","1","260899","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:4J0AkZj6UilnoNRpFN4W2b","Bleed American","Jimmy Eat World","Bleed American","1","1","181493","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:6cAYNHlOo7IddNDn5cmGAy","Great Expectations","Porcupine Tree","The Incident","1","3","86053","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:4L7kaptgY6py2G3nRW9BVQ","Masseduction","St. Vincent","MASSEDUCTION","1","3","197426","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:7Lfh4aHCDfksrnDfgSTZ6U","The Eater of Dreams","Nine Inch Nails","Hesitation Marks (Deluxe Version)","1","1","52453","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:3aTmXPZxyXcB7kDVEzhyLv","To The Bone","Steven Wilson","To The Bone","1","1","401478","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:0nnvAxEjMPhPGQFj4OrIG9","Kneel and Disconnect","Porcupine Tree","The Incident","1","4","122972","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:3XJDddl7vCozhQRP4Dr5qW","Crime Scene Part One - Remastered","The Afghan Whigs","Black Love (20th Anniversary Edition)","1","1","359360","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:4bnnP9Z5d7MWCY930hRcGK","Freeze Me","Death From Above 1979","Outrage! Is Now","1","2","198080","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:1mbd1JnkpVc1RaZH6rRPqE","Find My Way","Nine Inch Nails","Hesitation Marks (Deluxe Version)","1","4","315680","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:2hDtkP0ge2Gckcj7qi2NQ2","Doing It To Death","The Kills","Ash & Ice","1","1","247793","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:5QxsyWK3UfLgEPTaAb5Xgq","Killed By An Angel","Sunny Day Real Estate","The Rising Tide","1","1","295533","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:7AryXBNJFKFavtioATZRsC","Drawing the Line","Porcupine Tree","The Incident","1","5","283190","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:0O1xkyil1ij9HKH9ON8abU","Never Swim Alone","Death From Above 1979","Outrage! Is Now","1","5","154480","spotify:user:","2017-11-18T00:09:28Z"
"spotify:track:0P8yfWvDPk3sqfod1kySRu","Satellite","Nine Inch Nails","Hesitation Marks (Deluxe Version)","1","8","302733","spotify:user:","2017-11-18T00:09:28Z"
