﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0gYrCS1xKsQlMY38hbpxb7","High Roller","The Crystal Method","Vegas","1","4","329733","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:6QuJqYaFAjcZ5Q3mnC8UKT","Comin' Back","The Crystal Method","Vegas","1","5","339066","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:3MmAMXCl5e3oJFMzhpfXkM","Keep Hope Alive","The Crystal Method","Vegas","1","6","372666","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:3VaDpitxyU3bFnNbLPbcXO","Vapor Trail","The Crystal Method","Vegas","1","7","391506","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:2krkwx3F97Tv3N0yq33pWi","She's My Pusher","The Crystal Method","Vegas","1","8","341493","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:1PEq5SdTEOR7bELjQQyHbf","Jaded","The Crystal Method","Vegas","1","9","425733","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:2Xn0GuqyidckRD6V108wjv","Bad Stone","The Crystal Method","Vegas","1","10","309800","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:6Zd3GeoWN627ECunSzVtSS","Busy Child - Sta Remix","The Crystal Method","Vegas (Deluxe Edition)","2","1","403453","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:71rvXbUUNeQJkWRTB7NEek","Trip Like I Do - Tom Real vs The Rogue Element Remix","The Crystal Method","Vegas (Deluxe Edition)","2","2","435160","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:0KJOsXtY3s8pDH4wz6MZ06","Keep Hope Alive - MSTRKRFT Remix","The Crystal Method","Vegas (Deluxe Edition)","2","3","278386","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:5t5I9G7QDf3i1Y0eEPnpYq","Comin' Back - Koma and Bones Remix","The Crystal Method","Vegas (Deluxe Edition)","2","4","418520","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:0rCq9MVjQsrCA5N6trDCVM","Busy Child - Hyper Remix","The Crystal Method","Vegas (Deluxe Edition)","2","5","337826","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:17e2SVGAgd8FghWuOXZF6v","Cherry Twist - deadmau5 Remix","The Crystal Method","Vegas (Deluxe Edition)","2","6","364106","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:4YbHbPAShsCnRwjfWQLoOH","Busy Child - Paul Oakenfold Remix","The Crystal Method","Vegas (Deluxe Edition)","2","7","512013","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:47XS8e0EY13v9xZfJyWp3U","High Roller - Myagi Remix","The Crystal Method","Vegas (Deluxe Edition)","2","8","401200","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:1E4Rv7Tuh2m3twzOkVe0JE","Comin' Back - '93 Demo","The Crystal Method","Vegas (Deluxe Edition)","2","9","304853","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:4R7SexXU2btGXT7LwMIfhL","Vapor Trail - Live","The Crystal Method","Vegas (Deluxe Edition)","2","10","364293","spotify:user:","2011-07-29T15:54:32Z"
"spotify:track:43xk2HGO76L9CTsfmMO8Od","Your Ex-Lover Is Dead","Stars","Set Yourself On Fire","1","1","256053","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:0udmGLtYyXrEYC0AHVfuwE","Set Yourself On Fire","Stars","Set Yourself On Fire","1","2","339200","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:6KGnvCQjkdI7C4IQ9Rn6rp","Ageless Beauty","Stars","Set Yourself On Fire","1","3","245840","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:0GgzhgyDVyo3bjc6OnASFN","Reunion","Stars","Set Yourself On Fire","1","4","221853","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:42noNLWfuerMLbBV9bOns5","The Big Fight","Stars","Set Yourself On Fire","1","5","322213","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:0FdEJhYsNyRsogR8Kml4Ed","What I'm Trying To Say","Stars","Set Yourself On Fire","1","6","202506","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:4Fil8xURc6HOouZHrz6sDI","One More Night - (Your Ex-Lover Remains Dead)","Stars","Set Yourself On Fire","1","7","318066","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:2gtxGpueaUaw4blSyBkksn","Sleep Tonight","Stars","Set Yourself On Fire","1","8","164133","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:5Xp0LgN1Mwzh5zAi9KgVWI","The First Five Times","Stars","Set Yourself On Fire","1","9","180666","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:1x6OKNk2uVWXOH3LYVEZV2","He Lied About Death","Stars","Set Yourself On Fire","1","10","312200","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:0eeQWXxRL6a73AoBiRB3pg","Celebration Guns","Stars","Set Yourself On Fire","1","11","185106","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:6pk5sYCLLqnKG9bICVrPTO","Soft Revolution","Stars","Set Yourself On Fire","1","12","196600","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:3YG2LwgJ7LL9X21qlvUF4B","Calendar Girl","Stars","Set Yourself On Fire","1","13","247733","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:4lNCpQpuUPck1136p6SfVh","The Beginning After the End","Stars","In Our Bedroom After the War","1","1","140066","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:372nXMerrtlzJF2KfFU4hu","The Night Starts Here","Stars","In Our Bedroom After the War","1","2","293226","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:5OqTjW33Sp5XH8Dw7Wd9fT","Take Me To the Riot","Stars","In Our Bedroom After the War","1","3","228466","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:3DyMGcDvKnH3teXQMvUlJk","My Favourite Book","Stars","In Our Bedroom After the War","1","4","245466","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:7tgwT4berawxFPqest3akB","Midnight Coward","Stars","In Our Bedroom After the War","1","5","224933","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:5ZkwxsVlsW9B52w490QXdt","The Ghost of Genova Heights","Stars","In Our Bedroom After the War","1","6","275600","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:0o1O3BeN00vpvc8SYuvuIq","Personal","Stars","In Our Bedroom After the War","1","7","247173","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:15IcKppFxvGalMzPwhYaDB","Barricade","Stars","In Our Bedroom After the War","1","8","231466","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:6fOsvxjWhLJxEUDXXZcWlm","Window Bird","Stars","In Our Bedroom After the War","1","9","284160","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:6OwHMoxFuA6oYH1z8mh7iD","Bitches In Tokyo","Stars","In Our Bedroom After the War","1","10","170306","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:2IV4Obgd2P9969TNGJiVH3","Life 2: The Unhappy Ending","Stars","In Our Bedroom After the War","1","11","256426","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:2iVczUOVkSHEfKWeVTExE6","Today Will Be Better, I Swear","Stars","In Our Bedroom After the War","1","12","349440","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:1u2g7up9g5p7eXeuNyAXjt","In Our Bedroom After the War","Stars","In Our Bedroom After the War","1","13","406893","spotify:user:","2011-07-29T15:54:45Z"
"spotify:track:19N1DK2Duhueg9FJ4JLcE4","Three-Way","The Magnetic Fields","Distortion","1","1","180400","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1id8C2LdzAayYwyWqfBCrk","California Girls","The Magnetic Fields","Distortion","1","2","180093","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1UZEebVrBLp682KiWCG9K8","Old Fools","The Magnetic Fields","Distortion","1","3","180800","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1GQX1RHhXsFLbWf7qG3tX8","Xavier Says","The Magnetic Fields","Distortion","1","4","160586","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:5DgW1cAuwSDobVRHq9wfkX","Mr. Mistletoe","The Magnetic Fields","Distortion","1","5","177720","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:3kwy8d1lJELP8cRmR71TgS","Please Stop Dancing","The Magnetic Fields","Distortion","1","6","180826","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:0rrelRb3XN06MiNNdGdKFU","Drive on, Driver","The Magnetic Fields","Distortion","1","7","169666","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:3dwNmUJpdkzErzCLxAcYW9","Too Drunk to Dream","The Magnetic Fields","Distortion","1","8","178906","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:6uiz7s2DbjtSgdMEHXlVKd","Till the Bitter End","The Magnetic Fields","Distortion","1","9","182493","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:4McM05K0PSusFPUR1S9fje","I'll Dream Alone","The Magnetic Fields","Distortion","1","10","184893","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:4I1eZhhSus3KZw4di2aiet","The Nun's Litany","The Magnetic Fields","Distortion","1","11","178106","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:2zIp1JWaxYsXpGuQLUZ6F7","Zombie Boy","The Magnetic Fields","Distortion","1","12","182973","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1NEPaAWnC1Magz7uT2XCva","Courtesans","The Magnetic Fields","Distortion","1","13","179093","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:6xtW96u3gzcJHRwMqZUs67","I Die","The Magnetic Fields","i","1","1","134586","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:5qDXgWa9Z2HdawFOOKjCh5","I Don't Believe You","The Magnetic Fields","i","1","2","219466","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:12K1FLxmvgASDX4Tya2mb8","I Don't Really Love You Anymore","The Magnetic Fields","i","1","3","153520","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:7E8Wx3g8Oi9zqYgXvFPbtJ","I Looked All over Town","The Magnetic Fields","i","1","4","159000","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:0fKNI2Xd1v3mjN7GscMZAv","I Thought You Were My Boyfriend","The Magnetic Fields","i","1","5","264213","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:0b24uls2p9RuDgYH7YNUnW","I Was Born","The Magnetic Fields","i","1","6","121066","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:16QCMTEHTKdGJ2SmZ80zVz","I Wish I Had an Evil Twin","The Magnetic Fields","i","1","7","196413","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:6wTjC8GF4fEBKMzDtTaqSp","If There's Such a Thing as Love","The Magnetic Fields","i","1","8","177840","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1GybtbE4BBl3a3QHf9xklk","I'm Tongue-Tied","The Magnetic Fields","i","1","9","169000","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:1Xq5U6r9U6euyvDqSWeiSK","In an Operetta","The Magnetic Fields","i","1","10","122826","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:3D2kewN9Hd6VJ4n8vaq88o","Infinitely Late at Night","The Magnetic Fields","i","1","11","165826","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:5ragRDpuyUGAfCn1CdnSKg","Irma","The Magnetic Fields","i","1","12","143813","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:0RNnA1QRObZaMNuN9Bo1OG","Is This What They Used to Call Love","The Magnetic Fields","i","1","13","184706","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:0MBcVBOZy6yR3fZ6R2SFeu","It's Only Time","The Magnetic Fields","i","1","14","265720","spotify:user:","2011-07-29T15:55:12Z"
"spotify:track:18PAtUJK3t419O9ftkUZxN","Absolutely Cuckoo","The Magnetic Fields","69 Love Songs","1","1","94746","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:24hSe8FngwwVnFiM8zgPO7","I Don't Believe in the Sun","The Magnetic Fields","69 Love Songs","1","2","256453","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:0IvBJ71GLPHCuFO9hRbWZA","All My Little Words","The Magnetic Fields","69 Love Songs","1","3","166133","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:5FyUdab41uhfJbjvevXILq","A Chicken With Its Head Cut Off","The Magnetic Fields","69 Love Songs","1","4","161706","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:1V6e5kTtZ2lBemNTAhVmge","Reno Dakota","The Magnetic Fields","69 Love Songs","1","5","65293","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:09YfILH3QY7POQbhBc7DNv","I Don't Want to Get Over You","The Magnetic Fields","69 Love Songs","1","6","142600","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:0L3dRA5vVYXTHhL5ZA6GZO","Come Back From San Francisco","The Magnetic Fields","69 Love Songs","1","7","168066","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:2pL9xr4Mznff997e4jcoos","The Luckiest Guy on the Lower East Side","The Magnetic Fields","69 Love Songs","1","8","223333","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:6ERx9JDKsg0iwKEYB6UR9X","Let's Pretend We're Bunny Rabbits","The Magnetic Fields","69 Love Songs","1","9","145306","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:3otLkxciVRnUIi1WsBDp6k","The Cactus Where Your Heart Should Be","The Magnetic Fields","69 Love Songs","1","10","71213","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:0g7waQsc8WWxchFAHfRhFt","I Think I Need a New Heart","The Magnetic Fields","69 Love Songs","1","11","152733","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:6UGpcXcENaUqQKPc6oqOe4","The Book of Love","The Magnetic Fields","69 Love Songs","1","12","162413","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:7pmOj2mfBmq3nHpHIvPnTI","Fido, Your Leash Is Too Long","The Magnetic Fields","69 Love Songs","1","13","153946","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:3g8K7XowSG6BXbGXDk24ho","How Fucking Romantic","The Magnetic Fields","69 Love Songs","1","14","58720","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:5Ugy833dkecXYxX8CKGaro","The One You Really Love","The Magnetic Fields","69 Love Songs","1","15","173293","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:7k7peSoYbzZYjUuaGl6Lyd","Punk Love","The Magnetic Fields","69 Love Songs","1","16","58080","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:4pBvs97vlgEHoBmbM1HCAT","Parades Go By","The Magnetic Fields","69 Love Songs","1","17","176560","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:0I4MLTmICYsbn1fBSDZO8i","Boa Constrictor","The Magnetic Fields","69 Love Songs","1","18","58733","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:63iz60UjCunyHEdNSG4rmE","A Pretty Girl Is Like","The Magnetic Fields","69 Love Songs","1","19","110626","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:7KLQzyMxDvTlqITfxui3eG","My Sentimental Melody","The Magnetic Fields","69 Love Songs","1","20","187600","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:1sH0BilBR8geHAG1nQgvPs","Nothing Matters When We're Dancing","The Magnetic Fields","69 Love Songs","1","21","147373","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:6OSgFozp42r4JrZstWiLje","Sweet-Lovin' Man","The Magnetic Fields","69 Love Songs","1","22","299320","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:3Yb4Cvo8kbJi3aBBhiAFdU","The Things We Did and Didn't Do","The Magnetic Fields","69 Love Songs","1","23","131346","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:7CZiIkhshX8HqkhgIZQKRa","Roses","The Magnetic Fields","69 Love Songs","2","1","27800","spotify:user:","2011-07-29T15:55:43Z"
"spotify:track:3yFRk3sfRc4chAPfg0qw8h","Love Is Like Jazz","The Magnetic Fields","69 Love Songs","2","2","176773","spotify:user:","2011-07-29T15:55:43Z"
