﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1EALzILzmIPtRIvYyo6Lwm","Fill in the Blank","Car Seat Headrest","Teens of Denial","1","1","244506","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:5s9GVxGrP7yT54WZ18eHSW","It's Showtime!","Electric Six","Absolute Pleasure","1","1","123173","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:6CUDYw8UyKmmRfoYrgERIg","Stuck Between Stations","The Hold Steady","Boys And Girls In America","1","1","250066","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:5jeDAq40nB1ZCTqZAZIlm6","Vincent","Car Seat Headrest","Teens of Denial","1","2","465026","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:35tdGOEZGJn8Ob7BCY7CKX","Down At McDonnelzzz","Electric Six","Absolute Pleasure","1","2","251106","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:5xy3350chgFfFcdTET4xz3","Destroyed By Hippie Powers","Car Seat Headrest","Teens of Denial","1","3","303573","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:2kyONZCe1ztsTmjuWTUXCy","First Night","The Hold Steady","Boys And Girls In America","1","5","294320","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3R4n4d2XZEbZz9av18quL5","Danger! High Voltage!","Electric Six","Absolute Pleasure","1","3","243373","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:2mppVYsJzY6fsf4D7nwZuE","Place Unknown","Quintron","Are You Ready for an Organ Solo?","1","1","213000","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:149Any23hMgrW4DxrmpxPA","Chips Ahoy","The Hold Steady","Boys And Girls In America","1","2","189480","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:4NpqzZfiqjEWBPQ3mx37IJ","Tell 'Em","Sleigh Bells","Treats","1","1","176426","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:451k7CQkDxV9gikgyvqwIR","If I Were Going - Remastered","The Afghan Whigs","Gentlemen (Deluxe Edition)","1","1","185106","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3ieivIBQTmCuhXiwAMCDlo","Caméleon Chameleon","Escort","Escort","1","1","326533","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:44AL9Xok81qGEOZdPQpUnM","Bang Bang Bang","Mark Ronson, The Business Intl","Record Collection","1","1","233626","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:6YCbKvhJ5SKIFummGRr0eT","We The People....","A Tribe Called Quest","We got it from Here... Thank You 4 Your service","1","2","172013","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:53dmBFkPpJQM41LF3wJdFM","The 1975","The 1975","The 1975 (Deluxe Version)","1","1","79929","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:7kh8EGV2pe6AKoEfsCyXhw","The Space Program","A Tribe Called Quest","We got it from Here... Thank You 4 Your service","1","1","340853","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:5QxsyWK3UfLgEPTaAb5Xgq","Killed By An Angel","Sunny Day Real Estate","The Rising Tide","1","1","295533","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:1s89PEls1kEXNFKFONk9uD","You Fucked up (Live at John & Peter's)","Ween","GodWeenSatan: Live","1","1","98359","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:3eRZZ4d2RJSqFKzP7tSdFE","Born To Die","Lana Del Rey","Born To Die","1","1","286253","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:78DD19BBUfpNO5nCIa16ob","Whateva Will Be","A Tribe Called Quest","We got it from Here... Thank You 4 Your service","1","3","172760","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:1QpHhKFLbcN2alQ9YFRL0l","Seven","Sunny Day Real Estate","Diary (2009 Edition)","1","1","286400","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:5udnrY00yVUOAzupil2H56","Play Your Part (Pt. 1)","Girl Talk","Feed the Animals","1","1","284799","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:4grZ5z28oJa86yW59L7Kw0","Rattlesnake","St. Vincent","St. Vincent","1","1","214653","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:78ZdkvFY2GY0VXIkBcYDkY","Future Starts Slow","The Kills","Blood Pressures","1","1","245000","spotify:user:","2016-12-03T00:00:00Z"
"spotify:track:2YzED4KhumqnwCZS4e9YRc","Gentlemen - Remastered","The Afghan Whigs","Gentlemen (Deluxe Edition)","1","2","233160","spotify:user:","2016-12-03T00:00:00Z"
