﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5e0vfjC19908HLerbfbEkv","Red Flags And Long Nights","She Wants Revenge","She Wants Revenge","1","1","308986","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:7hkOVFyeFFiQk70wHDWPAe","Shake Hands With Danger","Tortoise","The Catastrophist","1","4","250773","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:1z4xjDLLWJgG48Bn8OCxZv","Help I'm Alive","Metric","Fantasies","1","1","285920","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:6us1MSxEvRjJVD3ZZILYZj","Deadwing","Porcupine Tree","Deadwing","1","1","586573","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:7Lfh4aHCDfksrnDfgSTZ6U","The Eater of Dreams","Nine Inch Nails","Hesitation Marks (Deluxe Version)","1","1","52453","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:2stcQY2OjzSIdk3I9Y1sCW","Slow Disco - piano version","St. Vincent","MassEducation","1","1","150706","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:1iG0MOwNNvDWdwIS5FtRM7","Boys in the Hood","Solomun","Dance Baby","1","2","332653","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:1EALzILzmIPtRIvYyo6Lwm","Fill in the Blank","Car Seat Headrest","Teens of Denial","1","1","244506","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:6CUDYw8UyKmmRfoYrgERIg","Stuck Between Stations","The Hold Steady","Boys And Girls In America","1","1","250066","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:0N4SbPXyqsfnLEJuSvc1gC","The Angel of Doubt","Punch Brothers","All Ashore","1","2","314400","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:70ULY5TUkJRzgr3K5TpzaK","Cheap And Cheerful","The Kills","Midnight Boom","1","2","148680","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:1YzbEChYqIWSWp1fnZy9Ez","The Space In Between","How To Destroy Angels","How To Destroy Angels","1","1","214509","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:0C3KMd6y2beeRk0Uu3jzmF","Ox Duke","Tortoise","The Catastrophist","1","2","289120","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:3QYrcpagGk1MDFBI7YyJdD","First, Love","She Wants Revenge","This Is Forever","1","1","111786","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:3AnTSyFUoEiOcm9UiCa4Ds","Message From The Pulpit","Causey Way","With Loving And Open Arms","1","1","169493","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:2rSlDvQmEUuGO9gRsPcrvQ","Song With A Mission","The Sounds","Dying To Say This To You","1","1","177533","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:7kF76Dlhew7jaUxaBIZpIQ","Nomad","Death From Above 1979","Outrage! Is Now","1","1","250104","spotify:user:","2018-12-24T11:22:14Z"
"spotify:track:4RpHsOi9rrCxnHnsZGUdRR","Savior - piano version","St. Vincent","MassEducation","1","2","258200","spotify:user:","2018-12-24T11:22:14Z"
